Year,Grade,Org_code,DistrictName,Group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2011,06,02460000,Reading,"Low Income",20,20," "," "," "," "," ",21,20," ",1," "," "," "," "," "," "," "," "," "," ",100,95," "
2011,06,02460000,Reading,Asian,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02460000,Reading,White,362,358,3,1," "," "," ",364,359,3,2," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,06,02460000,Reading,"Special Ed",81,77,3,1," "," "," ",81,77,3,1," "," "," "," "," "," "," "," "," "," ",99,99," "
2011,07,02460000,Reading,"All Students",354,349,2,3," "," "," ",354,350,2,2," "," "," "," "," "," "," "," "," "," ",99,99," "
2011,07,02460000,Reading,"Low Income",23,22," ",1," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," "," ",96,100," "
2011,07,02460000,Reading,Asian,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02460000,Reading,White,325,321,2,2," "," "," ",325,321,2,2," "," "," "," "," "," "," "," "," "," ",99,99," "
2011,07,02460000,Reading,"Special Ed",74,72,2," "," "," "," ",74,70,2,2," "," "," "," "," "," "," "," "," "," ",100,97," "
2011,08,02460000,Reading,"All Students",352,347,4,1," "," "," ",352,346,4,1,1," "," ",352,347,3,1,1," "," ",100,99,99
2011,08,02460000,Reading,"Low Income",19,18," ",1," "," "," ",19,18," ",1," "," "," ",19,18," ",1," "," "," ",95,95,95
2011,08,02460000,Reading,Asian,14,14," "," "," "," "," ",14,14," "," "," "," "," ",14,14," "," "," "," "," ",100,100,100
2011,08,02460000,Reading,White,319,315,3,1," "," "," ",319,314,3,1,1," "," ",319,314,3,1,1," "," ",100,99,99
2011,08,02460000,Reading,"Special Ed",82,77,4,1," "," "," ",82,77,4,1," "," "," ",82,78,3,1," "," "," ",99,99,99
2011,10,02460000,Reading,"All Students",331,325,1,1,4," "," ",331,326,1,2,2," "," ",330,321,1,2," "," ",6,98,99,99
2011,10,02460000,Reading,"Low Income",19,18," "," ",1," "," ",19,18," "," ",1," "," ",19,19," "," "," "," "," ",95,95,100
2011,10,02460000,Reading,Asian,10,10," "," "," "," "," ",10,10," "," "," "," "," ",10,8," "," "," "," ",2,100,100,100
2011,10,02460000,Reading,White,300,294,1,1,4," "," ",300,295,1,2,2," "," ",299,294,1,2," "," ",2,98,99,99
2011,10,02460000,Reading,"Special Ed",66,61,1,1,3," "," ",66,61,1,2,2," "," ",65,63,1,1," "," "," ",94,94,98
2011,03,02480000,Revere,"All Students",535,515,16," "," ",4," ",534,514,15,1," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,"Low Income",407,392,11," "," ",4," ",406,391,10,1," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,Black,15,15," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,Asian,35,31,3," "," ",1," ",34,30,3," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,Hispanic/Latino,231,225,3," "," ",3," ",230,224,2,1," ",3," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,White,222,213,9," "," "," "," ",223,214,9," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,Multi-race,24,23,1," "," "," "," ",24,23,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02480000,Revere,"LEP/Formerly LEP",145,140,1," "," ",4," ",143,138," ",1," ",4," "," "," "," "," "," "," "," ",99,99," "
2011,03,02480000,Revere,"Special Ed",92,76,16," "," "," "," ",90,75,15," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,"All Students",537,517,14," ",2,4," ",537,518,14,1," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,"Low Income",417,402,10," ",1,4," ",417,402,10,1," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,Black,33,28,3," "," ",2," ",33,28,3," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,Asian,38,37," "," "," ",1," ",38,37," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,Hispanic/Latino,221,213,7," ",1," "," ",221,214,7," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,White,226,220,4," ",1,1," ",226,220,4,1," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,Multi-race,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,"LEP/Formerly LEP",103,97,2," "," ",4," ",103,97,2," "," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,04,02480000,Revere,"Special Ed",104,90,14," "," "," "," ",104,90,14," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,02480000,Revere,"All Students",521,494,17,1," ",9," ",522,490,17,6," ",9," ",522,492,16,5," ",9," ",100,99,99
2011,05,02480000,Revere,"Low Income",393,371,13,1," ",8," ",394,367,13,5," ",9," ",394,369,12,4," ",9," ",99,99,99
2011,05,02480000,Revere,Black,28,26," "," "," ",2," ",28,26," ",1," ",1," ",28,26," ",1," ",1," ",100,96,96
2011,05,02480000,Revere,Asian,29,27," "," "," ",2," ",29,27," "," "," ",2," ",29,27," "," "," ",2," ",100,100,100
2011,05,02480000,Revere,Hispanic/Latino,235,229,4,1," ",1," ",235,227,4,3," ",1," ",235,227,4,3," ",1," ",99,99,99
2011,05,02480000,Revere,White,213,198,11," "," ",4," ",214,196,11,2," ",5," ",214,198,10,1," ",5," ",100,99,100
2011,05,02480000,Revere,Multi-race,13,11,2," "," "," "," ",13,11,2," "," "," "," ",13,11,2," "," "," "," ",100,100,100
2011,05,02480000,Revere,"LEP/Formerly LEP",95,86," "," "," ",9," ",96,86," ",1," ",9," ",96,86," ",1," ",9," ",99,99,99
2011,05,02480000,Revere,"Special Ed",102,85,17," "," "," "," ",102,84,17,1," "," "," ",102,86,16," "," "," "," ",100,99,100
2011,06,02480000,Revere,"All Students",488,473,8," "," ",7," ",490,470,11,2," ",7," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,"Low Income",358,347,5," "," ",6," ",359,344,8,1," ",6," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,Black,24,23,1," "," "," "," ",24,23,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,Asian,24,24," "," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,Hispanic/Latino,197,188,3," "," ",6," ",198,187,4,1," ",6," "," "," "," "," "," "," "," ",100,99," "
2011,06,02480000,Revere,White,226,221,4," "," ",1," ",227,219,6,1," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,Multi-race,16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,"LEP/Formerly LEP",69,62," "," "," ",7," ",69,62," "," "," ",7," "," "," "," "," "," "," "," ",100,100," "
2011,06,02480000,Revere,"Special Ed",80,72,8," "," "," "," ",80,69,11," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02480000,Revere,"All Students",501,484,2,2,3,10," ",503,480,5,4,3,11," "," "," "," "," "," "," "," ",99,99," "
2011,07,02480000,Revere,"Low Income",366,353,1,2,3,7," ",368,352,2,3,3,8," "," "," "," "," "," "," "," ",99,98," "
2011,07,02480000,Revere,Black,33,32," "," "," ",1," ",33,32," "," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,07,02480000,Revere,Asian,25,23,1," "," ",1," ",26,24,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,07,02480000,Revere,Hispanic/Latino,212,198,1,2,3,8," ",212,196,1,4,2,9," "," "," "," "," "," "," "," ",98,97," "
2011,07,02480000,Revere,White,214,214," "," "," "," "," ",215,212,3," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02480000,Revere,Multi-race,13,13," "," "," "," "," ",13,12," "," ",1," "," "," "," "," "," "," "," "," ",100,92," "
2011,07,02480000,Revere,"LEP/Formerly LEP",57,47," "," "," ",10," ",59,46," ",2," ",11," "," "," "," "," "," "," "," ",100,97," "
2011,07,02480000,Revere,"Special Ed",91,88,2," ",1," "," ",90,81,5,2,2," "," "," "," "," "," "," "," "," ",99,96," "
2011,08,02480000,Revere,"All Students",431,415,3,1," ",12," ",432,413,4,3," ",12," ",432,413,4,3," ",12," ",100,99,99
2011,08,02480000,Revere,"Low Income",323,308,2,1," ",12," ",323,305,3,3," ",12," ",323,305,3,3," ",12," ",100,99,99
2011,08,02480000,Revere,Black,15,14," "," "," ",1," ",15,14," "," "," ",1," ",15,14," "," "," ",1," ",100,100,100
2011,08,02480000,Revere,Asian,27,26," "," "," ",1," ",27,26," "," "," ",1," ",27,26," "," "," ",1," ",100,100,100
2011,08,02480000,Revere,Hispanic/Latino,183,174,2," "," ",7," ",183,173,3," "," ",7," ",183,173,3," "," ",7," ",100,100,100
2011,08,02480000,Revere,White,185,180,1,1," ",3," ",186,179,1,3," ",3," ",186,179,1,3," ",3," ",99,98,98
2011,08,02480000,Revere,Multi-race,18,18," "," "," "," "," ",18,18," "," "," "," "," ",18,18," "," "," "," "," ",100,100,100
2011,08,02480000,Revere,"LEP/Formerly LEP",42,29,1," "," ",12," ",42,29,1," "," ",12," ",42,29,1," "," ",12," ",100,100,100
2011,08,02480000,Revere,"Special Ed",79,75,3,1," "," "," ",79,74,4,1," "," "," ",79,74,4,1," "," "," ",99,99,99
2011,10,02480000,Revere,"All Students",411,395,5,5,1,5," ",405,385,5,7,1,7," ",420,335,3,2," ",10,70,99,98,100
2011,10,02480000,Revere,"Low Income",300,288,2,5," ",5," ",296,280,2,7," ",7," ",308,247,2,2," ",10,47,98,98,99
2011,10,02480000,Revere,Black,14,12,1," "," ",1," ",15,12,1," "," ",2," ",14,6,1," "," ",2,5,100,100,100
2011,10,02480000,Revere,Asian,31,30," "," "," ",1," ",31,30," "," "," ",1," ",31,26," ",1," ",1,3,100,100,97
2011,10,02480000,Revere,Hispanic/Latino,161,153,2,5," ",1," ",152,145,2,4," ",1," ",159,116,2,1," ",3,37,97,97,99
2011,10,02480000,Revere,White,178,174,1," ",1,2," ",180,174,1,1,1,3," ",189,164," "," "," ",4,21,99,99,100
2011,10,02480000,Revere,Multi-race,24,23,1," "," "," "," ",24,21,1,2," "," "," ",23,20," "," "," "," ",3,100,92,100
2011,10,02480000,Revere,"LEP/Formerly LEP",39,31," ",3," ",5," ",41,32," ",2," ",7," ",39,20," "," "," ",10,9,92,95,100
2011,10,02480000,Revere,"Special Ed",48,43,5," "," "," "," ",49,43,5,1," "," "," ",42,25,3," "," "," ",14,100,98,100
2011,03,02490000,Richmond,"All Students",22,22," "," "," "," "," ",22,22," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02490000,Richmond,White,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02490000,Richmond,"All Students",16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02490000,Richmond,White,14,14," "," "," "," "," ",14,14," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02490000,Richmond,"All Students",25,25," "," "," "," "," ",25,25," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02490000,Richmond,White,24,24," "," "," "," "," ",24,24," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02490000,Richmond,"All Students",23,23," "," "," "," "," ",23,23," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02490000,Richmond,White,21,21," "," "," "," "," ",21,21," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,02490000,Richmond,"All Students",16,16," "," "," "," "," ",16,14,2," "," "," "," ",16,16," "," "," "," "," ",100,100,100
2011,08,02490000,Richmond,White,16,16," "," "," "," "," ",16,14,2," "," "," "," ",16,16," "," "," "," "," ",100,100,100
2011,03,02500000,Rochester,"All Students",77,76,1," "," "," "," ",77,76,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02500000,Rochester,"Low Income",10,10," "," "," "," "," ",10,10," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02500000,Rochester,White,69,68,1," "," "," "," ",69,68,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02500000,Rochester,"All Students",91,91," "," "," "," "," ",91,91," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02500000,Rochester,White,85,85," "," "," "," "," ",85,85," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02500000,Rochester,"Special Ed",16,16," "," "," "," "," ",16,16," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,02500000,Rochester,"All Students",80,80," "," "," "," "," ",80,80," "," "," "," "," ",80,80," "," "," "," "," ",100,100,100
2011,05,02500000,Rochester,White,77,77," "," "," "," "," ",77,77," "," "," "," "," ",77,77," "," "," "," "," ",100,100,100
2011,05,02500000,Rochester,"Special Ed",11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2011,06,02500000,Rochester,"All Students",81,81," "," "," "," "," ",81,81," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02500000,Rochester,White,73,73," "," "," "," "," ",73,73," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02500000,Rochester,"Special Ed",12,12," "," "," "," "," ",12,12," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02510000,Rockland,"All Students",188,179,9," "," "," "," ",188,179,9," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02510000,Rockland,"Low Income",74,68,6," "," "," "," ",74,67,7," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02510000,Rockland,Hispanic/Latino,14,13,1," "," "," "," ",14,13,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02510000,Rockland,White,161,154,7," "," "," "," ",161,154,7," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02510000,Rockland,"Special Ed",36,27,9," "," "," "," ",36,27,9," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02510000,Rockland,"All Students",171,163,8," "," "," "," ",171,164,7," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02510000,Rockland,"Low Income",60,53,7," "," "," "," ",60,54,6," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02510000,Rockland,Hispanic/Latino,15,15," "," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02510000,Rockland,White,146,138,8," "," "," "," ",146,139,7," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02510000,Rockland,"Special Ed",38,30,8," "," "," "," ",38,31,7," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,02510000,Rockland,"All Students",196,179,17," "," "," "," ",196,179,17," "," "," "," ",196,181,15," "," "," "," ",100,100,100
2011,05,02510000,Rockland,"Low Income",71,65,6," "," "," "," ",71,63,8," "," "," "," ",71,64,7," "," "," "," ",100,100,100
2011,05,02510000,Rockland,Black,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,12," "," "," "," "," ",100,100,100
2011,05,02510000,Rockland,White,167,152,15," "," "," "," ",167,152,15," "," "," "," ",167,154,13," "," "," "," ",100,100,100
2011,05,02510000,Rockland,"Special Ed",48,31,17," "," "," "," ",48,31,17," "," "," "," ",48,33,15," "," "," "," ",100,100,100
2011,06,02510000,Rockland,"All Students",185,178,5," ",2," "," ",183,178,4," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2011,06,02510000,Rockland,"Low Income",71,69,2," "," "," "," ",69,67,1," ",1," "," "," "," "," "," "," "," "," ",100,99," "
2011,06,02510000,Rockland,White,164,158,5," ",1," "," ",162,157,4," ",1," "," "," "," "," "," "," "," "," ",99,99," "
2011,06,02510000,Rockland,"Special Ed",32,26,5," ",1," "," ",31,27,4," "," "," "," "," "," "," "," "," "," "," ",97,100," "
2011,07,02510000,Rockland,"All Students",181,175,5,1," "," "," ",181,173,5,2,1," "," "," "," "," "," "," "," "," ",99,98," "
2011,07,02510000,Rockland,"Low Income",65,60,4,1," "," "," ",65,59,4,1,1," "," "," "," "," "," "," "," "," ",98,97," "
2011,07,02510000,Rockland,Black,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02510000,Rockland,Hispanic/Latino,12,11,1," "," "," "," ",12,11,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02510000,Rockland,White,157,152,4,1," "," "," ",157,150,4,2,1," "," "," "," "," "," "," "," "," ",99,98," "
2011,07,02510000,Rockland,"Special Ed",38,33,5," "," "," "," ",38,32,5," ",1," "," "," "," "," "," "," "," "," ",100,97," "
2011,08,02510000,Rockland,"All Students",191,185,4," ",2," "," ",190,185,4,1," "," "," ",190,185,3,2," "," "," ",99,99,99
2011,08,02510000,Rockland,"Low Income",68,64,3," ",1," "," ",68,65,3," "," "," "," ",68,66,2," "," "," "," ",99,100,100
2011,08,02510000,Rockland,Hispanic/Latino,15,15," "," "," "," "," ",15,15," "," "," "," "," ",15,15," "," "," "," "," ",100,100,100
2011,08,02510000,Rockland,White,163,157,4," ",2," "," ",162,157,4,1," "," "," ",162,157,3,2," "," "," ",99,99,99
2011,08,02510000,Rockland,"Special Ed",28,24,4," "," "," "," ",28,24,4," "," "," "," ",28,25,3," "," "," "," ",100,100,100
2011,10,02510000,Rockland,"All Students",144,137,3,4," "," "," ",145,137,3,5," "," "," ",127,108,2," ",1," ",16,97,97,99
2011,10,02510000,Rockland,"Low Income",57,53,1,3," "," "," ",57,51,1,5," "," "," ",47,38," "," "," "," ",9,95,91,100
2011,10,02510000,Rockland,Black,11,9,1,1," "," "," ",12,10,1,1," "," "," ",8," "," "," "," "," "," ",91,92," "
2011,10,02510000,Rockland,Hispanic/Latino,11,10," ",1," "," "," ",11,10," ",1," "," "," ",9," "," "," "," "," "," ",91,91," "
2011,10,02510000,Rockland,White,116,113,2,1," "," "," ",116,112,2,2," "," "," ",104,93,2," "," "," ",9,99,98,100
2011,10,02510000,Rockland,"Special Ed",24,18,3,3," "," "," ",24,18,3,3," "," "," ",17,9,2," "," "," ",6,88,88,100
2011,03,02520000,Rockport,"All Students",80,79,1," "," "," "," ",79,78,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02520000,Rockport,White,76,75,1," "," "," "," ",75,74,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,03,02520000,Rockport,"Special Ed",10,9,1," "," "," "," ",10,9,1," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02520000,Rockport,"All Students",64,62,1," ",1," "," ",64,63," "," ",1," "," "," "," "," "," "," "," "," ",98,98," "
2011,04,02520000,Rockport,White,62,60,1," ",1," "," ",62,61," "," ",1," "," "," "," "," "," "," "," "," ",98,98," "
2011,04,02520000,Rockport,"Special Ed",13,12,1," "," "," "," ",13,13," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,05,02520000,Rockport,"All Students",62,61,1," "," "," "," ",62,61,1," "," "," "," ",62,61,1," "," "," "," ",100,100,100
2011,05,02520000,Rockport,White,57,56,1," "," "," "," ",57,56,1," "," "," "," ",57,56,1," "," "," "," ",100,100,100
2011,05,02520000,Rockport,"Special Ed",10,9,1," "," "," "," ",10,9,1," "," "," "," ",10,9,1," "," "," "," ",100,100,100
2011,06,02520000,Rockport,"All Students",83,79,4," "," "," "," ",83,78,4,1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,06,02520000,Rockport,White,75,73,2," "," "," "," ",75,72,2,1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,06,02520000,Rockport,"Special Ed",16,12,4," "," "," "," ",16,12,4," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02520000,Rockport,"All Students",82,82," "," "," "," "," ",82,81," ",1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,07,02520000,Rockport,"Low Income",14,14," "," "," "," "," ",14,13," ",1," "," "," "," "," "," "," "," "," "," ",100,93," "
2011,07,02520000,Rockport,White,78,78," "," "," "," "," ",78,77," ",1," "," "," "," "," "," "," "," "," "," ",100,99," "
2011,07,02520000,Rockport,"Special Ed",14,14," "," "," "," "," ",14,13," ",1," "," "," "," "," "," "," "," "," "," ",100,93," "
2011,08,02520000,Rockport,"All Students",84,83," "," ",1," "," ",84,82,1,1," "," "," ",84,82," ",2," "," "," ",99,99,98
2011,08,02520000,Rockport,"Low Income",14,14," "," "," "," "," ",14,12,1,1," "," "," ",14,12," ",2," "," "," ",100,93,86
2011,08,02520000,Rockport,White,80,79," "," ",1," "," ",80,78,1,1," "," "," ",80,79," ",1," "," "," ",99,99,99
2011,08,02520000,Rockport,"Special Ed",19,18," "," ",1," "," ",19,18,1," "," "," "," ",19,19," "," "," "," "," ",95,100,100
2011,10,02520000,Rockport,"All Students",78,76," ",1,1," "," ",78,77," "," ",1," "," ",79,76," "," "," "," ",3,97,99,100
2011,10,02520000,Rockport,White,68,66," ",1,1," "," ",68,67," "," ",1," "," ",69,66," "," "," "," ",3,97,99,100
2011,10,02520000,Rockport,"Special Ed",13,13," "," "," "," "," ",13,13," "," "," "," "," ",14,13," "," "," "," ",1,100,100,100
2011,03,02580000,Salem,"All Students",407,392,8," "," ",7," ",409,393,8," "," ",8," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,"Low Income",214,205,3," "," ",6," ",216,206,3," "," ",7," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,Black,16,13,2," "," ",1," ",16,13,2," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,Hispanic/Latino,138,134," "," "," ",4," ",140,135," "," "," ",5," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,White,233,227,5," "," ",1," ",233,227,5," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,Multi-race,13,11,1," "," ",1," ",13,11,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,"LEP/Formerly LEP",94,87," "," "," ",7," ",95,87," "," "," ",8," "," "," "," "," "," "," "," ",100,100," "
2011,03,02580000,Salem,"Special Ed",109,101,8," "," "," "," ",109,101,8," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02580000,Salem,"All Students",366,352,8," "," ",6," ",370,353,8,1," ",8," "," "," "," "," "," "," "," ",100,100," "
2011,04,02580000,Salem,"Low Income",216,204,6," "," ",6," ",220,206,5,1," ",8," "," "," "," "," "," "," "," ",100,100," "
2011,04,02580000,Salem,Black,27,27," "," "," "," "," ",27,27," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,04,02580000,Salem,Hispanic/Latino,116,107,4," "," ",5," ",119,108,4,1," ",6," "," "," "," "," "," "," "," ",100,99," "
2011,04,02580000,Salem,White,195,192,3," "," "," "," ",196,192,3," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,04,02580000,Salem,Multi-race,21,19,1," "," ",1," ",21,19,1," "," ",1," "," "," "," "," "," "," "," ",100,100," "
2011,04,02580000,Salem,"LEP/Formerly LEP",60,52,2," "," ",6," ",62,52,2,1," ",7," "," "," "," "," "," "," "," ",100,98," "
2011,04,02580000,Salem,"Special Ed",95,87,8," "," "," "," ",97,87,8," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,05,02580000,Salem,"All Students",372,360,8,1," ",3," ",372,357,10," ",1,4," ",372,359,7,1,1,4," ",100,100,99
2011,05,02580000,Salem,"Low Income",217,207,6,1," ",3," ",218,207,6," ",1,4," ",218,208,6," "," ",4," ",100,100,100
2011,05,02580000,Salem,Black,21,21," "," "," "," "," ",21,20,1," "," "," "," ",21,21," "," "," "," "," ",100,100,100
2011,05,02580000,Salem,Asian,11,11," "," "," "," "," ",11,11," "," "," "," "," ",11,11," "," "," "," "," ",100,100,100
2011,05,02580000,Salem,Hispanic/Latino,130,125,2,1," ",2," ",129,125,2," "," ",2," ",129,125,2," "," ",2," ",99,100,100
2011,05,02580000,Salem,White,194,188,5," "," ",1," ",195,186,6," ",1,2," ",195,187,4,1,1,2," ",100,99,99
2011,05,02580000,Salem,Multi-race,14,13,1," "," "," "," ",14,13,1," "," "," "," ",14,13,1," "," "," "," ",100,100,100
2011,05,02580000,Salem,"LEP/Formerly LEP",59,53,2,1," ",3," ",59,53,2," "," ",4," ",59,53,2," "," ",4," ",98,100,100
2011,05,02580000,Salem,"Special Ed",92,83,8,1," "," "," ",91,81,10," "," "," "," ",91,83,7,1," "," "," ",99,100,99
2011,06,02580000,Salem,"All Students",282,270,8,1," ",3," ",283,268,10,1," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,06,02580000,Salem,"Low Income",165,156,6," "," ",3," ",166,155,7," "," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,06,02580000,Salem,Black,20,20," "," "," "," "," ",20,20," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,06,02580000,Salem,Hispanic/Latino,93,86,5," "," ",2," ",94,86,5," "," ",3," "," "," "," "," "," "," "," ",100,100," "
2011,06,02580000,Salem,White,156,151,3,1," ",1," ",156,149,5,1," ",1," "," "," "," "," "," "," "," ",99,99," "
2011,06,02580000,Salem,"LEP/Formerly LEP",44,41," "," "," ",3," ",45,41," "," "," ",4," "," "," "," "," "," "," "," ",100,100," "
2011,06,02580000,Salem,"Special Ed",71,62,8,1," "," "," ",72,61,10,1," "," "," "," "," "," "," "," "," "," ",99,99," "
2011,07,02580000,Salem,"All Students",320,304,11," "," ",5," ",322,305,12," "," ",5," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,"Low Income",186,173,8," "," ",5," ",188,173,10," "," ",5," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,Black,15,14,1," "," "," "," ",15,15," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,Hispanic/Latino,100,93,4," "," ",3," ",101,94,4," "," ",3," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,White,188,180,6," "," ",2," ",189,179,8," "," ",2," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,Multi-race,11,11," "," "," "," "," ",11,11," "," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,"LEP/Formerly LEP",37,29,3," "," ",5," ",37,29,3," "," ",5," "," "," "," "," "," "," "," ",100,100," "
2011,07,02580000,Salem,"Special Ed",88,77,11," "," "," "," ",88,76,12," "," "," "," "," "," "," "," "," "," "," ",100,100," "
2011,08,02580000,Salem,"All Students",354,342,4,2," ",6," ",353,340,6,1," ",6," ",353,341,5,1," ",6," ",99,100,100
2011,08,02580000,Salem,"Low Income",207,199,1,1," ",6," ",205,196,2,1," ",6," ",205,197,1,1," ",6," ",100,100,100
2011,08,02580000,Salem,Asian,12,12," "," "," "," "," ",12,12," "," "," "," "," ",12,12," "," "," "," "," ",100,100,100
